Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Scene/Visibility/Relevance/NumPrimitivesPerPacket,1,1.000000,32,7.243345,32,7.243345,32,32,32.000000,0.000000,
Scene/Visibility/Relevance/NumPrimitivesProcessed,5,1.905297,44,7.242561,7,9.866824,7,44,24.000000,14.933185,
TransientAllocator/ResourceCreateCount,113,0.667305,83,7.419615,0,176.757430,0,83,1.610619,8.205436,
TransientAllocator/TextureCreateCount,110,0.649589,74,7.419615,0,176.757430,0,74,1.454545,7.371699,
TransientAllocator/TextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCacheSize,113,0.665617,73,7.285875,72,177.053289,72,103,73.115044,3.823686,
TransientAllocator/TextureCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/BufferCreateCount,10,2.031590,9,7.419615,0,12.341868,0,9,2.000000,2.748737,
TransientAllocator/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCacheSize,8,1.588939,9,7.285875,22,12.320680,9,22,16.750000,4.399675,
TransientAllocator/BufferCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/PageMapCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageAllocateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageSpanCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryRangeCount,1,1.000000,1,7.419615,1,7.419615,1,1,1.000000,0.000000,
TransientAllocator/MemoryUsed,1,1.000000,134217728,7.419615,134217728,7.419615,134217728,134217728,134217728.000000,0.000000,
TransientAllocator/MemoryRequested,2,11.214150,59244544,7.419615,65142784,7.597961,59244544,65142784,62193664.000000,4170685.501066,
AudioSourceManager Qd Cmds,32218,186.648626,1,7.437452,2,180.050563,0,166,3.672481,10.902947,
Mass Active Processors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Active Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Invalidated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/FrontBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/BackBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/CurrentSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/InvalidSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/SerializedBytes (compressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/ThroughputBytes (decompressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
