Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
FCapsuleShadowingCS,15,-2269.941436,0.268464,6.786672,6.804207,0.017536,6.766528,6.780064,0.013536,0.005593,0.055243,0.017898,0.012932,
FSubsurfaceIndirectDispatchSetupCS,39,785.655146,0.265581,6.308306,6.313206,0.004900,6.353351,6.357946,0.004595,0.002395,0.024919,0.006810,0.004856,
FMallocBinnedCommonUtils::FlushCurrentThreadCache,58,13.946551,0.265040,7.688106,7.688459,0.000353,11.846365,11.846840,0.000475,0.000001,0.016890,0.004570,0.005773,
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,58,13.946554,0.264922,7.688107,7.688458,0.000352,11.846366,11.846840,0.000474,0.000001,0.016889,0.004568,0.005773,
FRDGBuilder::ExecutePasses,571,74.778296,0.263959,4.132823,4.132889,0.000065,11.768706,11.768729,0.000023,0.000010,0.035964,0.000462,0.002933,
Slate_PaintSlowPath,193,27.628361,0.261885,4.123711,4.123782,0.000071,11.109220,11.109286,0.000067,0.000038,0.241065,0.001357,0.017345,
RHICmdList_Submit,7252,901.922383,0.260853,3.893014,3.893128,0.000113,11.930497,11.933618,0.003121,0.000001,0.104403,0.000036,0.001249,
FGSConvolutionWithTextureCS,12,431.426548,0.260641,6.661834,6.671891,0.010057,6.656362,6.689649,0.033287,0.007611,0.053995,0.021720,0.013001,
EndOfPipeTask,231,56.917823,0.259321,7.697176,7.703102,0.005926,11.715335,11.755659,0.040324,0.000002,0.047992,0.001123,0.004720,
D3D12RHI::CreateTextureInternal,253,112.443735,0.257238,8.067656,8.076764,0.009108,10.317024,10.317670,0.000646,0.000021,0.011224,0.001017,0.001914,
SViewport_OnPaint,192,57.506852,0.254706,7.770551,8.011485,0.240933,11.109239,11.109284,0.000045,0.000027,0.240933,0.001327,0.017383,
Oversubscription,284,29.082727,0.252283,1.082913,1.082927,0.000014,10.848157,10.848160,0.000003,0.000002,0.031024,0.000888,0.002233,
Bloom,956,407.206204,0.250972,8.502623,8.502884,0.000261,10.850230,10.850328,0.000097,0.000003,0.025343,0.000263,0.001288,
FTSRDecimateHistoryCS,16,325.770702,0.250493,5.998390,6.018185,0.019795,6.030447,6.047504,0.017058,0.008330,0.027913,0.015656,0.005235,
FGSComplexTransformCS,12,-93.243498,0.247912,6.832076,6.840939,0.008863,6.695274,6.703380,0.008106,0.004939,0.099901,0.020659,0.026087,
UE::RHICore::Nvidia::Aftermath::InitializeBeforeDeviceCreation,1,4.044844,0.247228,3.283244,3.530472,0.247228,3.283244,3.530472,0.247228,0.247228,0.247228,0.247228,0.000000,
Lights,583,259.608521,0.245251,8.602968,8.603110,0.000142,10.848562,10.848657,0.000095,0.000021,0.016421,0.000421,0.001303,
DirectLighting,583,259.608556,0.242205,8.602968,8.603110,0.000142,10.848562,10.848657,0.000094,0.000020,0.016421,0.000415,0.001303,
UnbatchedLights,582,259.163327,0.240252,8.602969,8.603110,0.000141,10.848563,10.848657,0.000094,0.000020,0.016420,0.000413,0.001304,
UObjectLoadAllCompiledInStructs,1,4.209202,0.237575,4.189206,4.426781,0.237575,4.189206,4.426781,0.237575,0.237575,0.237575,0.237575,0.000000,
VisibilityCommands,188,66.271323,0.222772,8.008107,8.008547,0.000440,10.844735,10.844930,0.000195,0.000119,0.031046,0.001185,0.002555,
FDeferredShadingSceneRenderer_InitViews,188,66.271349,0.222357,8.008108,8.008546,0.000438,10.844736,10.844930,0.000194,0.000118,0.031044,0.001183,0.002555,
TickCompletionEvents,1309,502.034698,0.219542,8.205077,8.206620,0.001544,10.812461,10.812466,0.000005,0.000002,0.003465,0.000168,0.000248,
ProcessUntilTasksComplete,1309,502.035102,0.217084,8.205078,8.206608,0.001531,10.812461,10.812465,0.000004,0.000001,0.003461,0.000166,0.000247,
FSimulationShaderDefaultCS,1,4.611457,0.216851,5.740930,5.957781,0.216851,5.740930,5.957781,0.216851,0.216851,0.216851,0.216851,0.000000,
OcclusionCullPipe,188,72.243751,0.216563,8.211523,8.211553,0.000029,10.813812,10.813824,0.000012,0.000008,0.031069,0.001152,0.002591,
PlayFirstPreLoadScreen,2,9.176316,0.216138,3.912270,4.128042,0.215772,4.129857,4.130222,0.000366,0.000366,0.215772,0.108069,0.152315,
