Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Scene/Visibility/Relevance/NumPrimitivesPerPacket,1,1.000000,32,8.008526,32,8.008526,32,32,32.000000,0.000000,
Scene/Visibility/Relevance/NumPrimitivesProcessed,5,2.164620,44,8.007011,7,10.316886,7,44,24.000000,14.933185,
TransientAllocator/ResourceCreateCount,10,4.687404,83,8.204342,0,10.337719,0,83,12.800000,26.114279,
TransientAllocator/TextureCreateCount,6,2.852422,74,8.204342,0,10.307817,0,74,18.000000,28.844410,
TransientAllocator/TextureCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/TextureCacheSize,9,3.624503,73,8.078768,72,10.561867,72,103,80.222222,11.819240,
TransientAllocator/TextureCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/BufferCreateCount,10,4.687404,9,8.204342,0,10.337719,0,9,2.000000,2.748737,
TransientAllocator/BufferCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/BufferCacheSize,8,3.561579,9,8.078768,21,10.324962,9,21,16.375000,3.997767,
TransientAllocator/BufferCacheHitPercentage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TransientAllocator/PageMapCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageAllocateCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/PageSpanCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
TransientAllocator/MemoryRangeCount,1,1.000000,1,8.204341,1,8.204341,1,1,1.000000,0.000000,
TransientAllocator/MemoryUsed,1,1.000000,134217728,8.204342,134217728,8.204342,134217728,134217728,134217728.000000,0.000000,
TransientAllocator/MemoryRequested,2,13.705257,59244544,8.204342,65142784,8.350272,59244544,65142784,62193664.000000,4170685.501066,
AudioSourceManager Qd Cmds,556,192.305650,1,8.220453,0,11.111684,0,57,9.392086,12.739704,
Mass Active Processors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Concurrency HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Active Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Execution Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Mass Global Chunk HWM,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSectioned/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Chunks,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Entries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/JournalSimple/Invalidated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/FrontBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/BlockingStorage/BackBuffer,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/CurrentSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/LinearStrategyCache/InvalidSize,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/SerializedBytes (compressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
ZenClient/ThroughputBytes (decompressed),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
