Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
AsyncCompilation/SCWMemoryLimit,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWMemoryLoan,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWsActive,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Size,1617,408.263413,4016,7.193839,36144,11.154517,0,36144,6094.782931,4057.717324,
SkeletalMesh/DynamicDataPool/Bucket0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket1,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket2,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket3,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket4,1617,408.263959,4016,7.193844,36144,11.154517,0,36144,6094.782931,4057.717324,
StreamableAssets/RegisteredAssets,1,1.000000,7,7.065617,7,7.065617,7,7,7.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredAssets,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/AddedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RemovedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/UpdateObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/SelfHealedRegistrations,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
LevelStreamingProfiling/NumStreamingLevelsToConsider,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCount,17,5.502420,4,7.065575,125,10.155125,4,260,128.529412,45.431429,
RDG/PassWithParameterCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCullCount,3,1.428912,4,7.476045,8,9.575545,2,8,4.666667,3.055050,
RDG/RenderPassMergeCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassDependencyCount,11,5.188632,635,7.476046,256,9.596065,256,635,320.272727,106.004803,
RDG/TextureCount,11,3.560390,1,7.065575,138,10.155125,1,265,137.454545,59.081915,
RDG/TextureReferenceCount,12,4.479151,801,7.476046,373,10.155125,368,801,440.916667,115.716313,
RDG/TextureReferenceAverage,12,4.479151,3.022641,7.476046,2.702899,10.155125,2.666667,3.072464,2.955820,0.161454,
RDG/BufferCount,9,3.556624,10,7.065575,104,9.596065,10,212,106.222222,50.581068,
RDG/BufferReferenceCount,10,4.716940,861,7.476047,277,9.596065,277,861,420.000000,167.160601,
RDG/BufferReferenceAverage,10,4.716940,4.061321,7.476047,2.663461,9.596066,2.641510,4.250000,3.596716,0.623223,
RDG/ViewCount,10,3.951803,8,7.065576,352,9.596066,8,743,364.800000,173.476736,
RDG/TransientTextureCount,6,2.847404,142,7.476047,72,9.583230,72,142,84.166667,28.343724,
RDG/TransientBufferCount,3,1.428912,20,7.476048,10,9.575547,10,20,13.666667,5.507571,
RDG/TransitionCount,33,10.681168,4,7.065576,480,10.155126,4,1060,524.000000,134.784318,
RDG/AliasingCount,5,2.372837,162,7.476048,82,9.583230,82,162,99.000000,35.234926,
RDG/TransitionBatchCount,92,29.777801,1,7.065576,98,10.155126,1,205,102.826087,19.803212,
RDG/MemoryWatermark,127,44.261508,11736,7.065576,690528,9.934886,11736,750928,726356.598425,64632.255386,
BufferPool/BufferCount,97,15.221637,1,3.490143,84,9.862651,1,90,48.340206,27.158442,
BufferPool/BufferCreateCount,98,16.488613,1,3.490143,0,9.433639,0,76,30.989796,24.056418,
BufferPool/BufferReleaseCount,6,3.389495,6,8.106454,0,9.876629,0,6,1.666667,2.338090,
BufferPool/Size,97,15.221638,65536,3.490143,8594597232,9.862651,65536,8594990448,7574005490.515465,2704626683.762294,
RenderTargetPool/Count,28,3.445129,1,3.533564,2,11.660981,1,15,8.000000,4.136558,
RenderTargetPool/Size,28,3.445129,65536,3.533564,45056,11.660982,45056,132763648,52219465.142857,53494432.270150,
Scene/Primitives,2,0.476044,8,7.196137,0,11.397429,0,8,4.000000,5.656854,
Scene/Primitives/Adds,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Removes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Transforms,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Instances,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/PrimitiveArrayMax,1,1.000000,8,7.196137,8,7.196137,8,8,8.000000,0.000000,
Scene/Lights,2,0.476044,3,7.196137,0,11.397429,0,3,1.500000,2.121320,
Scene/Visibility/NumProcessedPrimitives,1,1.000000,8,7.199562,8,7.199562,8,8,8.000000,0.000000,
Scene/Visibility/FrustumCull/NumCulledPrimitives,2,8.813026,1,9.341916,3,9.568853,1,3,2.000000,1.414214,
Scene/Visibility/FrustumCull/NumPrimitivesPerTask,1,1.000000,1024,7.199562,1024,7.199562,1024,1024,1024.000000,0.000000,
Scene/Visibility/OcclusionCull/NumTestedQueries,3,1.426481,3,7.465776,1,9.568853,1,3,2.000000,1.000000,
Scene/Visibility/OcclusionCull/NumCulledPrimitives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
